day,f1,precision,recall,accuracy,support
2011-03-01,0.8400000000000001,0.5949367088607596,0.8024390243902438,0.85,947.0
2011-03-02,0.7458715596330276,0.49620253164556966,0.82,0.85,947.0
2011-03-03,0.7776923076923077,0.521505376344086,0.8459459459459459,0.85,947.0
2011-03-04,0.6951219512195121,0.4736842105263158,0.6759999999999999,0.85,946.0
2011-03-05,0.0,0.0,0.0,0.85,13.0
2011-03-07,0.0,0.0,0.0,0.85,946.0
2011-03-08,0.965,0.8500000000000001,0.98,0.85,946.0
2011-03-09,0.0,0.0,0.0,0.85,946.0
2011-03-10,0.5634146341463415,0.38245614035087716,0.484,0.85,946.0
2011-03-11,0.965,0.806015037593985,0.7584070796460176,0.85,946.0
2011-03-12,0.0,0.0,0.0,0.85,10.0
2011-03-14,0.6176470588235294,0.403125,0.6714285714285714,0.85,946.0
2011-03-15,0.4653061224489796,0.2975,0.5,0.85,946.0
2011-03-16,0.0,0.0,0.0,0.85,946.0
2011-03-17,0.0,0.0,0.0,0.85,946.0
2011-03-18,0.0,0.0,0.0,0.85,945.0
2011-03-19,0.0,0.0,0.0,0.85,10.0
2011-03-21,0.0,0.0,0.0,0.85,945.0
2011-03-22,0.0,0.0,0.0,0.85,945.0
2011-03-23,0.0,0.0,0.0,0.85,945.0
2011-03-24,0.7764705882352942,0.4785714285714286,0.98,0.85,945.0
2011-03-25,0.5842105263157895,0.39117647058823535,0.5444444444444444,0.85,945.0
2011-03-26,0.0,0.0,0.0,0.85,10.0
2011-03-28,0.7175257731958763,0.4708333333333334,0.82,0.85,945.0
2011-03-29,0.8400000000000001,0.525,0.98,0.85,945.0
2011-03-30,0.8062500000000001,0.5900000000000001,0.7,0.85,945.0
2011-03-31,0.5700000000000001,0.36250000000000004,0.7,0.85,945.0
2011-04-01,0.965,0.8500000000000001,0.7564102564102564,0.85,944.0
2011-04-02,0.0,0.0,0.0,0.85,10.0
2011-04-04,0.5454545454545454,0.33684210526315794,0.8999999999999999,0.85,944.0
2011-04-05,0.7853932584269663,0.5058823529411764,0.98,0.85,944.0
2011-04-06,0.0,0.0,0.0,0.85,944.0
2011-04-07,0.0,0.0,0.0,0.85,944.0
2011-04-08,0.6983606557377049,0.45434782608695656,0.82,0.85,943.0
2011-04-09,0.0,0.0,0.0,0.85,9.0
2011-04-11,0.965,0.874074074074074,0.6793103448275862,0.85,943.0
2011-04-12,0.6886363636363637,0.46276595744680854,0.7,0.85,943.0
